vi,ch
"Nhâm Tuất chi thu, thất nguyệt ký vọng, Tô tử dữ khách phiếm chu du ư Xích Bích chi hạ. Thanh phong từ lai, thuỷ ba bất hứng, cử tửu chúc khách, tụng Minh nguyệt chi thi, ca Yểu điệu chi chương. Thiểu yên, nguyệt xuất ư đông sơn chi thượng, bồi hồi ư Đẩu Ngưu chi gian. Bạch lộ hoành giang, thuỷ quang tiếp thiên. Túng nhất vĩ chi sở như, lăng vạn khoảnh chi mang nhiên. Hạo hạo hồ như bằng hư ngự phong, nhi bất tri kỳ sở chỉ; phiêu phiêu hồ như di thế độc lập, vũ hoá nhi đăng tiên. Ư thị ẩm tửu lạc thậm, khấu huyền nhi ca chi. Ca viết:",壬戌之秋，七月既望，蘇子與客泛舟遊於赤壁之下。清風徐來，水波不興，舉酒屬客，誦明月之詩，歌窈窕之章。少焉，月出於東山之上，徘徊於斗牛之間。白露橫江，水光接天。縱一葦之所如，凌萬頃之茫然。浩浩乎如馮虛御風，而不知其所止；飄飄乎如遺世獨立，羽化而登仙。於是飲酒樂甚，扣舷而歌之。歌曰︰
"“Quế trạo hề lan tương,",「桂棹兮蘭槳，
"Kích không minh hề tố lưu quang,",擊空明兮泝流光。
"Diểu diểu hề ư hoài,",渺渺兮於懷，
Vọng mỹ nhân hề thiên nhất phương.”,望美人兮天一方。」
"Khách hữu xuy động tiêu giả, ỷ ca nhi hoạ chi; kỳ thanh ô ô nhiên, như oán như mộ, như khấp như tố, dư âm diểu diểu bất tuyệt như lũ; vũ u hác chi tiềm giao, khấp cô chu chi ly phụ.",客有吹洞蕭者，倚歌而和之，其聲嗚嗚然，如怨如慕，如泣如訴；餘音裊裊，不絕如縷；舞幽壑之潛蛟，泣孤舟之嫠婦。
"Tô tử sậu nhiên chính khâm, nguy toạ nhi vấn khách, viết:",蘇子愀然，正襟危坐，而問客曰︰
- Hà vi kỳ nhiên dã?,「何為其然也？」
Khách viết:,客曰︰
"- “Nguyệt minh tinh hy, ô thước nam phi”, thử phi Tào Mạnh Đức chi thi hồ? Tây vọng Hạ Khẩu, đông vọng Vũ Xương; sơn xuyên tương mâu, uất hồ thương thương, thử phi Mạnh Đức chi khốn ư Chu Lang giả hồ? Phương kỳ phá Kinh Châu, há Giang Lăng, thuận lưu nhi đông dã, trục lô thiên lý, tinh kỳ tế không, si tửu Lâm giang, hoành sáo phú thi, cố nhất thế chi hùng dã, nhi kim an tại tai? Huống ngô dữ tử, ngư tiều ư giang chử chi thượng, lữ ngư hà nhi hữu mi lộc, giá nhất diệp chi biển chu, cử bào tôn dĩ tương chúc, ký phù du ư thiên địa, diểu thương hải chi nhất túc. Ai ngô sinh chi tu du, tiện Trường Giang chi vô cùng, hiệp phi tiên dĩ ngao du, bão minh nguyệt nhi trường chung. Tri bất khả hồ sậu đắc, thác di hưởng ư bi phong.",「月明星稀，烏鵲南飛，此非曹孟德之詩乎？西望夏口，東望武昌；山川相缪，鬱乎蒼蒼；此非孟德之困於周郎者乎？方其破荊州，下江陵，順流而東也，舳艫千里，旌旗蔽空，釃酒臨江，橫槊賦詩；固一世之雄也，而今安在哉？況吾與子，漁樵於江渚之上，侶魚蝦而友糜鹿，駕一葉之扁舟，舉匏樽以相屬；寄蜉蝣於天地，渺滄海之一粟。哀吾生之須臾，羨長江之無窮；挾飛仙以遨遊，抱明月而長終。知不可乎驟得，托遺響於悲風。」
Tô tử viết:,蘇子曰︰
"- Khách diệc tri phù thuỷ dữ nguyệt hồ? Thệ giả như tư nhi vị thường vãng dã; doanh hư giả như bỉ nhi tốt mạc tiêu trưởng dã. Cái tương tự kỳ biến giả nhi quan chi, nhi thiên địa tằng bất năng dĩ nhất thuấn. Tự kỳ bất biến giả nhi quan chi, tắc vật dữ ngã giai vô tận dã, nhi hựu hà tiện hồ? Thả phù thiên địa chi gian, vật các hữu chủ. Cẩu phi ngô chi sở hữu, tuy nhất hào nhi mạc thủ. Duy giang thượng chi thanh phong, dữ sơn gian chi minh nguyệt, nhĩ đắc chi nhi vi thanh, mục ngộ chi nhi thành sắc. Thủ chi vô cấm, dụng chi bất kiệt. Thị tạo vật giả chi vô tận tàng dã, nhi ngô dữ tử chi sở cộng thích.",「客亦知夫水與月乎？逝者如斯，而未嘗往也；盈虛者如彼，而卒莫消長也。蓋將自其變者而觀之，而天地曾不能以一瞬。自其不變者而觀之，則物與我皆無盡也，而又何羨乎？且夫天地之間，物各有主。苟非吾之所有，雖一毫而莫取。惟江上之清風，與山間之明月，耳得之而為聲，目遇之而成色。取之無禁，用之不竭。是造物者之無盡藏也，而吾與子之所共適。」
"Khách hỉ nhi tiếu, tẩy trản cánh chước. Hào hạch ký tận, bôi bàn lang tạ. Tương dữ chẩm tạ hồ chu trung, bất tri đông phương chi ký bạch.",客喜而笑，洗盞更酌。肴核既盡，杯盤狼藉。相與枕藉乎舟中，不知東方之既白。
