vi,ch
Khách hữu:,客有：
"Quải hạn mạn chi phong phàm,",掛汗漫之風帆，
Thập hạo đãng chi hải nguyệt.,拾浩蕩之海月。
"Triêu dát huyền hề Nguyên, Tương,",朝嘎舷兮沅湘，
Mộ u thám hề Vũ huyệt.,暮幽探兮禹穴。
"Cửu Giang, Ngũ Hồ,",九江五湖，
"Tam Ngô, Bách Việt.",三吳百粵。
"Nhân tích sở chí,",人跡所至，
Mị bất kinh duyệt.,靡不經閱。
"Hung thôn Vân Mộng giả sổ bách nhi,",胸吞雲夢者數百而，
Tứ phương tráng chí do khuyết như dã.,四方壯志猶闕如也。
"Nãi cử tiếp hề trung lưu,",乃舉楫兮中流，
Túng Tử Trường chi viễn du.,縱子長之遠遊。
"Thiệp Đại Than khẩu,",涉大灘口，
Tố Đông Triều đầu.,溯東潮頭。
"Để Bạch Đằng giang,",抵白藤江，
Thị phiếm thị phù.,是泛是浮。
"Tiếp kình ba ư vô tế,",接鯨波於無際，
Trám diêu vĩ chi tương mâu.,蘸繇尾之相繆。
"Thuỷ thiên nhất sắc,",水天一色，
Phong cảnh tam thu.,風景三秋。
"Chử địch ngạn lô,",渚获岸蘆，
Sắt sắt sâu sâu.,瑟瑟颼颼。
"Chiết kích trầm giang,",折戟沉江，
Khô cốt doanh khâu.,枯骨盈丘。
"Thảm nhiên bất lạc,",慘然不樂，
Trữ lập ngưng mâu.,佇立凝眸。
"Niệm hào kiệt chi dĩ vãng,",念豪傑之已往，
Thán tung tích chi không lưu.,嘆蹤跡之空留。
"Giang biên phụ lão,",江邊父老，
Vị ngã hà cầu.,謂我何求。
"Hoặc phù lê trượng,",或扶黎杖，
Hoặc trạo cô châu.,或棹孤舟。
Ấp dư nhi ngôn viết:,揖余而言曰：
"“Thử Trùng Hưng nhị thánh cầm Ô Mã Nhi chi chiến địa,",此重興二聖擒烏馬兒之戰地，
Dữ tích thời Ngô thị phá Lưu Hoằng Thao chi cố châu dã.”,與昔時吳氏破劉弘操之故洲也。
Đương kỳ:,當期：
"Trục lô thiên lý,",舳艫千里，
Tinh kỳ ỷ nỉ.,旌旗旖旎。
"Tỳ hưu lục quân,",貔貅六軍，
Binh nhẫn phong khỉ.,兵刃蜂起。
"Thư hùng vị quyết,",雌雄未決，
Nam Bắc đối luỹ.,南北對壘。
"Nhật nguyệt hôn hề vô quang,",日月昏兮無光，
Thiên địa lẫm hề tương huỷ.,天地凜兮將毀。
Bỉ:,彼：
"Tất Liệt chi thế cường,",必烈之勢強，
Lưu Cung chi kế quỷ.,劉龔之計詭。
"Tự vị đầu tiên,",自謂投鞭，
Khả tảo Nam kỷ.,可掃南紀。
Ký nhi:,既而：
"Hoàng thiên trợ thuận,",皇天助順，
Hung đồ phi mỵ.,凶徒披靡。
"Mạnh Đức Xích Bích chi sư đàm tiếu phi hôi,",孟德赤壁之師談笑飛灰，
Bồ Kiên Hợp Phì chi trận tu du tống tử.,符堅合淝之陣須臾送死。
"Chí kim giang lưu,",至今江流，
Chung bất tuyết sỉ.,終不雪恥。
"Tái tạo chi công,",再造之功，
Thiên cổ xưng mỹ.,千古稱美。
Tuy nhiên:,雖然：
"Tự hữu vũ trụ,",自有宇宙，
Cố hữu giang san.,故有江山。
"Tín thiên tạm chi thiết hiểm,",信天塹之設險，
Lại nhân kiệt dĩ điện an.,賴人傑以奠安。
"Mạnh Tân chi hội ưng dương nhược Lã,",孟津之會鷹揚箬呂，
Duy Thuỷ chi chiến quốc sĩ như Hàn.,濰水之戰國士如韓。
"Duy thử giang chi đại tiệp,",惟此江之大捷，
Do đại vương chi tặc nhàn.,猶大王之賊閒。
"Anh phong khả tưởng,",英風可想，
Khẩu bi bất san.,口碑不刊。
"Hoài cổ nhân hề vẫn thế,",懷古人兮隕涕，
Lâm giang lưu hề hậu nhan.,臨江流兮厚顏。
Hành thả ca viết:,行且歌曰：
"“Đại giang hề cổn cổn,",大江兮滾滾，
Hồng đào cự lãng hề triều tông vô tận.,洪濤巨浪兮朝宗無盡。
"Nhân nhân hề văn danh,",仁人兮聞名，
Phỉ nhân hề câu dẫn.”,匪人兮俱泯。
Khách tòng nhi canh ca viết:,客從而賡歌曰：
"“Nhị thánh hề tịnh minh,",二聖兮並明，
Tựu thử giang hề tẩy giáp binh.,就此江兮洗甲兵。
"Hồ trần bất cảm động hề, thiên cổ thăng bình.",胡塵不敢動兮，千古昇平。
"Tín tri: bất tại quan hà chi hiểm hề,",信知：不在關河之險兮，
Duy tại ý đức chi mạc kinh.”,惟在懿德之莫京。
