vi,ch
"Thích xúc hà thích xúc,",刺促何刺促，
Đông gia nghênh hôn tây gia khốc.,東家迎婚西家哭。
"Khốc thanh hưu sử đông gia văn,",哭聲休使東家聞，
Đông gia xa mã phương như vân.,東家車馬方如雲。
"Mãn đường tiếu ngữ khan châu thuý,",滿堂笑語看珠翠，
Giáp đạo phong truyền lan xạ huân.,夾道風傳蘭麝薰。
"Phù vân thướng thiên hoa lạc thụ,",浮雲上天花落樹，
Quân tâm nhất thất vô hồi ngộ.,君心一失無回悟。
"Minh tri khiển thiếp hà sở quy,",明知遣妾何所歸，
Ẩm lệ hành tầm xuất môn lộ.,飲淚行尋出門路。
"Thanh đồng kính diện vô quang thái,",青銅鏡面無光彩，
Thiếp tâm thượng tại dung hoa cải.,妾心尚在容華改。
"Đông gia tân phụ khuynh thành tư,",東家新婦傾城姿，
Tự thiếp tòng tiền sơ giá thì.,似妾從前初嫁時。
