vi,ch
"Phọc Nhung nhân, phọc Nhung nhân!",縛戎人，縛戎人，
"Nhĩ xuyên, diện phá, khu nhập Tần,",耳穿面破驅入秦。
Thiên tử căng liên bất nhẫn sát,天子矜憐不忍殺，
Chiếu tỉ đông nam Ngô dữ Việt.,詔徙東南吳與越。
"Hoàng y tiểu sứ lục tính danh,",黃衣小使錄姓名，
Lĩnh xuất Trường An thừa đệ hành.,領出長安乘遞行。
"Thân bị kim sang, diện đa tích,",身被金創面多瘠，
Phù bệnh đồ hành nhật nhất dịch.,扶病徒行日一驛。
"Triêu xan cơ khát phí bôi bàn,",朝餐飢渴費杯盤，
Dạ ngoạ tinh táo ô sàng tịch.,夜臥腥臊汚牀席。
"Hốt phùng Giang thuỷ ức Giao Hà,",忽逢江水憶交河，
Thuỳ thủ tề thanh ô yết ca.,垂手齊聲嗚咽歌。
Kì trung nhất lỗ ngữ chư lỗ:,其中一虜語諸虜，
"Nhĩ khổ phi đa, ngã khổ đa.",爾苦非多我苦多。
"Đồng bạn hành nhân nhân tá vấn,",同伴行人因借問，
"Dục thuyết hầu trung khí phẫn phẫn,",欲說喉中氣憤憤。
"Tự vân hương quản bản Lương Nguyên,",自云鄉管本涼原，
Đại Lịch niên trung một lạc Phồn.,大曆年中沒落蕃。
"Nhất lạc Phồn trung tứ thập tải,",一落蕃中四十載，
Khiển trước bì cừu hệ mao đới.,遣著皮裘繫毛帶。
"Duy hứa chinh triêu phục Hán nghi,",唯許正朝服漢儀，
"Liễm y chỉnh cân tiềm lệ thuỳ,",斂衣整巾潛淚垂。
"Thệ tâm mật định qui hương kế,",誓心密定歸鄉計，
Bất sử Phồn trung thê tử tri.,不使蕃中妻子知。
"Ám tư hạnh hữu tàn cân lực,",暗思幸有殘筋力，
Cánh khủng niên suy qui bất đắc.,更恐年衰歸不得。
"Phồn hậu nghiêm binh điểu bất phi,",蕃候嚴兵鳥不飛，
Thoát thân mạo tử bôn đào quy.,脫身冒死奔逃歸。
Trú phục tiêu hành kinh đại mạc.,晝伏宵行經大漠，
"Vân âm nguyệt hắc, phong sa ác,",雲陰月黑風沙惡。
"Kinh tàng thanh trủng hàn thảo sơ,",驚藏青冢寒草疎，
Thâu độ Hoàng Hà dạ băng bạc.,偷渡黃河夜冰薄。
"Hốt văn Hán quân bề cổ thanh,",忽聞漢軍鼙鼓聲，
"Lộ bàng tẩu xuất tái bái nghênh,",路傍走出再拜迎。
"Du kị bất thính năng Hán ngữ,",遊騎不聽能漢語，
Tướng quân toại phọc tác Phồn sinh.,將軍遂縛作蕃生。
"Phối hướng Giang Nam ti thấp địa,",配向江南卑濕地，
"Định vô tồn tuất không phòng bị,",定無存卹空防備。
"Niệm thử thôn thanh ngưỡng tố thiên,",念此吞聲仰訴天，
Nhược vi tân khổ độ tàn niên.,若爲辛苦度殘年。
"Lương Nguyên hương tỉnh bất đắc kiến,",涼原鄉井不得見，
Hồ địa thê nhi hư khí quyên.,胡地妻兒虛棄捐。
"Một Phồn bị tù tư Hán thổ,",沒蕃被囚思漢土，
Qui Hán bị kiếp vi Phồn lỗ.,歸漢被劫爲蕃虜。
"Tảo tri như thử hối quy lai,",早知如此悔歸來，
Lưỡng địa ninh như nhất xứ khổ.,兩地寧如一處苦。
Phọc Nhung nhân!,縛戎人，
Nhung nhân chi trung ngã khổ tân.,戎人之中我苦辛。
"Tự cổ thử oan ứng vị hữu,",自古此冤應未有，
Hán tâm Hán ngữ Thổ Phồn thân!,漢心漢語吐蕃身。
