vi,ch
"Đại giang lai tòng vạn sơn trung,",大江來從萬山中，
Sơn thế tận dữ giang lưu đông.,山勢盡與江流東。
"Chung sơn như long độc tây thướng,",鍾山如龍獨西上，
Dục phá cự lãng thừa trường phong.,欲破巨浪乘長風。
"Giang sơn tương hùng bất tương nhượng,",江山相雄不相讓，
Hình thắng tranh khoa thiên hạ tráng.,形勝爭誇天下壯。
"Tần Hoàng không thử ế hoàng kim,",秦皇空此瘞黄金，
Giai khí thông thông chí kim vượng.,佳氣蔥蔥至今旺。
Ngã hoài úc tắc hà do khai?,我懷鬱塞何由開，
Tửu hàm tẩu thướng thành nam đài.,酒酣走上城南臺。
"Toạ giác thương mang vạn cổ ý,",坐覺蒼茫萬古意，
Viễn tự hoang yên lạc nhật chi trung lai.,遠自荒煙落日之中來。
"Thạch Đầu thành hạ đào thanh nộ,",石頭城下濤聲怒，
Vũ kỵ thiên quần thuỳ cảm độ?,武騎千群誰敢渡？
Hoàng kỳ nhập Lạc cánh hà tường?,黄旗入洛竟何祥？
Thiết toả hoành giang vị vi cố.,鐵鎖橫江未為固。
"Tiền Tam quốc, hậu Lục triều,",前三國後六朝，
Thảo sinh cung khuyết hà tiêu tiêu!,草生宮闕何蕭蕭！
"Anh hùng thừa thời vụ cát cứ,",英雄乘時務割据，
Kỷ độ chiến huyết lưu hàn trào.,幾度戰血流寒潮。
"Ngã kim hạnh phùng thánh nhân khởi Nam quốc,",我今幸逢聖人起南國，
Hoạ loạn sơ bình sự hưu tức.,禍亂初平事休息。
"Tòng kim tứ hải vĩnh vi gia,",從今四海永為家，
Bất dụng Trường Giang hạn nam bắc.,不用長江限南北。
