vi,ch
"Hữu thử thân lai bách trách huyền,",有此身來百責懸，
Hành vi bản lĩnh nghiệp vi tiên.,行為本領業為先。
"Hạnh tu vô quý đức phương đạt,",行須無愧德方達，
Nghiệp tất hữu thành công nãi toàn.,業必有成攻乃全。
"Vô quý mạc như tuần lễ độ,",無愧莫如循禮度，
Hữu thành chỉ tại hảo tinh chuyên.,有成只在好精專。
"Đoạ lai vật vị do đa nhật,",惰來勿謂猶多日，
Khiểm xứ hưu ngôn thượng thiếu niên.,歉處休言尚少年。
"Chất phán cao đê ưng hữu mệnh,",質判高低應有命，
Học quan cần đãi khởi do thiên.,學關勤怠豈由天。
"Chỉ văn tiểu tuệ vô túc thị,",衹聞小慧無足恃，
Vị kiến trung thôn bất khả thiên.,未見中村不可遷。
"Khắc niệm nhược năng cuồng tác thánh,",克念若能狂作聖，
Khốn tri tu tín sĩ hy hiền.,困知須信士希賢。
"Du du thiên lý vô tha thoại,",悠悠千里無他話，
Tự ái quan tình yếu miễn chiên.,自愛關情要勉旃。
