vi,ch
"Cao Bưu hồ thuỷ thanh thả u,",高郵湖水清且幽，
Cao Bưu nữ nhi năng đãng chu.,高郵女兒能蕩舟。
"Thập bát sơ trang hảo cao kế,",十八梳妝好高髻，
Nhị thập giá phu trường viễn du.,二十嫁夫長遠遊。
"Thanh lăng kính phá bảo thoa chiết,",青菱鏡破寶釵折，
Phỉ thuý khâm hàn điệp hương tuyết.,翡翠衾寒疊香雪。
"Phương thảo vương tôn khứ bất quy,",芳草王孫去不歸，
Huệ cô đề xứ Tần lâu nguyệt.,蟪蛄啼處秦樓月。
"Lâu tiền dương liễu phi nhứ đa,",樓前楊柳飛絮多，
Môn ngoại thù ty thành võng la.,門外蛛絲成網羅。
"Cao Bưu hồ thuỷ tăng tịch ba,",高郵湖水增夕波，
Cao Bưu nữ nhi tương nại hà.,高郵女兒將奈何。
