vi,ch
"Đạp tí quy lai lục bác trường,",蹋臂歸來六博塲，
Thành trung bạch vũ mộ chinh Khương.,城中白羽募征羌。
"Tương phùng thí giải Ngô câu khán,",相逢試解呉鈎看，
Dĩ thị Kim hà vạn lý sương.,已是金河萬里霜。
"Mã thủ thuỳ dương chiết tống hành,",馬首垂楊折送行，
Tửu lan trường ấp bảo đao hoành.,酒闌長揖寳刀橫。
"Quân trung tối thị đa huynh đệ,",軍中最是多兄弟，
Bất xướng Dương Quan đệ tứ thanh.,不唱陽關第四聲。
"Triêu lai phân lệ Lý khinh xa,",朝來分隷李輕車，
Ấp khách viên môn ý tự như.,揖客轅門意自如。
"Siêu cự kiều quan tam thập vạn,",超距翹關三十萬，
Hà nhân lĩnh thủ báo thao thư.,何人領取豹韜書。
Dạ thâm lân trướng tống Hồ già.,夜深鄰帳送胡笳，
Tam nguyệt xuân hàn tuyết tác hoa.,三月春寒雪作花。
"Xuy tận quan san Dương liễu khúc,",吹盡關山楊柳曲，
Tráng tâm nguyên tự bất tư gia.,壯心元自不思家。
"Kỳ binh thập vạn kích Hung Nô,",竒兵十萬擊匈奴，
Cốc Lễ Đồ Kỳ vị nghĩ phu.,谷蠡屠耆未擬俘。
"Đối trận đoạt tương kim lặc mã,",對陣奪將金勒馬，
Độc thân sinh trí Bắc Thiền Vu.,獨身生致北單于。
"Điệp mã xuy trần tử cực hôn,",蹀馬吹塵紫極昏，
Tẩy đao phi huyết cửu Hà hồn.,洗刀飛血九河渾。
"Trường Thành trực thác tam thiên lý,",長城直拓三千里，
Biểu thủ Âm Sơn tác bắc môn.,表取隂山作北門。
"Hồ cơ học đắc Hán cung mi,",胡姬學得漢宮眉，
Tân khổ phong trần tổn ngọc ky.,辛苦風塵損玉肌。
"Bất vị thanh xuân dung dịch cải,",不爲青春容易改，
Thập niên phiên địa thất Yên Chi.,十年番地失焉支。
"Thiết kỵ hoành khu Hãn Hải trần,",鐵騎橫驅瀚海塵，
Qua thuyền trực đảo chướng thiên xuân.,戈船直擣瘴天春。
"Bất tri nam bắc công đa thiểu,",不知南北功多少，
Tu tác kỳ lân đệ nhị nhân.,羞作麒麟第二人。
