vi,ch
"Lộ hoa tẩy thiên thiên đoạ thuỷ,",露華洗天天墮水，
Chúc quang thiêu vân bán không tử.,燭光燒雲半空紫。
"Tây thi dạ tuý Phù Dung châu,",西施夜醉芙蓉洲，
Kim ty ngọc hoàng thanh yết thu.,金絲玉簧清咽秋。
"Bề cổ tiên nguyệt hành xuân lôi,",鼙鼓鞭月行春雷，
Động phòng hoa mộng hàm bất hồi.,洞房花夢酣不回。
"Cung trung dạ dạ đề thê ô,",宮中夜夜啼栖烏，
Mỹ nhân nhật nhật ca Ngô du.,美人日日歌吳歈。
"Ngô vượng quốc phá ca thanh tuyệt,",吳王國破歌聲絕，
Quỷ hoả thanh huỳnh sinh bích huyết.,鬼火青熒生碧血。
"Thiên niên hoại trủng canh hồ thỏ,",千年坏冢耕狐兔，
Ô hàm chỉ tiền quải khô thụ.,烏啣紙錢挂枯樹。
"Độc lâu vô ngữ mãn nhãn nê,",髑髏無語滿眼泥，
Tằng kiến Ngô vương ca vũ thì.,曾見吳王歌舞時。
Ô dạ đề đề vị thuỳ?,烏夜啼，啼為誰？
Thân tiền hoan lạc thân hậu bi.,身前歡樂身后悲。
"Không lưu sắt oán truyền tương tư,",空留瑟怨傳相思，
"Ô dạ đề, đề biệt ly.",烏夜啼，啼別離。
