vi,ch
"Ta hồ nhân sinh kỷ đa tâm,",嗟乎人生幾多心，
Duy hữu nhất tâm sầu vạn tự.,惟有一心愁萬緒。
"Như dục thử tâm vô câu luyến,",如欲此心無拘攣，
Trừ thị yêm yêm chung nhật tuý.,除是厭厭終日醉。
Quân bất kiến:,君不見：
Thiên thiên hữu tửu Đào Uyên Minh.,篇篇有酒陶淵明，
Tống triều phú quý bất năng luỵ.,宋朝富貴不能累。
"Nguyên Gia tử cập Đàn tướng quân,",元嘉死及檀將軍，
Uyên Minh Nghĩa Hy thư giáp tý.,淵明義熙書甲子。
Hựu bất kiến:,又不見：
"Sa đà tận nhật Lý Thanh Liên,",蹉跎盡日李青蓮，
Phong lưu thiên tử phù bất khỉ.,風流天子扶不起。
"Thiên Bảo tử cập Dương Quý Phi,",天寶死及楊貴妃，
Thanh Liên kỵ kình du nhiên thệ.,青蓮騎鯨悠然逝。
"Tửu thần nguyên bất phụ ngô nhân,",酒神原不負吾人，
Khuyến quân thả chước dưỡng hạo khí.,勸君且酌養浩氣。
