vi,ch
"Sài môn ủng thụ hướng thiên chu,",柴門擁樹向千株，
Đan quất hoàng cam thử địa vô.,丹橘黃甘此地無。
"Giang thượng kim triêu hàn vũ hiết,",江上今朝寒雨歇，
Ly trung tú sắc hoạ bình hu.,籬中秀色畫屏紆。
"Đào hề lý kính niên tuy cố,",桃蹊李徑年雖故，
Chi tử hồng tiêu diễm phục thù.,梔子紅椒豔復殊。
"Toả thạch đằng sao nguyên tự lạc,",鎖石藤稍元自落，
Ỷ thiên tùng cốt kiến lai khô.,倚天松骨見來枯。
"Lâm hương xuất thật thuỳ tương tận,",林香出實垂將盡，
Diệp đế từ chi bất trùng tô.,葉蒂辭枝不重蘇。
"Ái nhật ân quang mông tá thải,",愛日恩光蒙借貸，
Thanh sương sát khí đắc ưu ngu.,清霜殺氣得憂虞。
"Suy nhan cánh mịch lê sàng toạ,",衰顏更覓藜床坐，
Hoãn bộ nhưng tu trúc trượng phù.,緩步仍須竹杖扶。
"Tán kỵ vị tri vân các xử,",散騎未知雲閣處，
Đề viên tích tại Sở sơn ngu.,啼猿僻在楚山隅。
