vi,ch
"Khứ niên đông pha thập ngoã lịch,",去年東坡拾瓦礫，
Tự chủng hoàng tang tam bách xích.,自種黃桑三百尺。
"Kim niên ngải thảo cái tuyết đường,",今年刈草蓋雪堂，
Nhật chích phong xuy diện như mặc.,日炙風吹面如墨。
"Bình sinh lại đoạ kim thuỷ hối,",平生懶惰今始悔，
Lão đại khuyến nông thiên sở trực.,老大勸農天所直。
"Phái nhiên lệ tứ tam xích vũ,",沛然例賜三尺雨，
Tạo vật vô tâm hoảng nan trắc.,造物無心怳難測。
"Tứ phương thượng hạ đồng nhất vân,",四方上下同一雲，
Cam dâm bất vi long sở cách.,甘霪不為龍所隔。
"Bồng hao hạ thấp nghinh hiểu lỗi,",蓬蒿下濕迎曉耒，
Đăng hoả tân lương thôi dạ chức.,燈火新涼催夜織。
"Lão phu tác bãi đắc cam tẩm,",老夫作罷得甘寢，
Ngoạ thính tường đông nhân hưởng kịch.,臥聽牆東人響屐。
"Bôn lưu vị dĩ khanh cốc bình,",奔流未已坑谷平，
Chiết vi khô hà tứ phiêu nịch.,折葦枯荷恣漂溺。
"Hủ nho thô lệ chi bách niên,",腐儒麤糲支百年，
Lực canh bất thọ chúng mục liên.,力耕不受眾目憐。
"Phá pha lậu thuỷ bất nại hạn,",破陂漏水不耐旱，
Nhân lực vị chí cầu thiên toàn.,人力未至求天全。
"Hội đương tác đường kính thiên bộ,",會當作塘徑千步，
Hoành đoạn tây bắc già sơn tuyền.,橫斷西北遮山泉。
"Tứ lân tương suất trợ cử xử,",四鄰相率助舉杵，
Nhân nhân tri ngã nang vô tiền.,人人知我囊無錢。
"Minh niên cộng khan quyết cừ vũ,",明年共看決渠雨，
Cơ bão tại ngã ninh quan thiên.,飢飽在我寧關天。
"Thuỳ năng bạn ngã điền gian ẩm,",誰能伴我田間飲，
Tuý đảo duy hữu chi đầu chuyên.,醉倒惟有支頭磚。
