vi,ch
"Tiền các vũ liêm sầu bất quyển,",前閣雨簾愁不捲，
Hậu đường phương thụ âm âm hiện.,後堂芳樹陰陰見。
"Thạch Thành cảnh vật loại hoàng tuyền,",石城景物類黃泉，
Dạ bán hành lang không giá đạn.,夜半行郎空柘彈。
"Lăng phiến hoán phong Xương Hạp thiên,",綾扇喚風閶闔天，
Khinh vi thuý mạc ba hồi tuyền.,輕幃翠幕波洄旋。
Thục hồn tịch mịch hữu bạn vị?,蜀魂寂寞有伴未，
Kỷ dạ chướng hoa khai mộc miên.,幾夜瘴花開木棉。
"Quế cung lưu ảnh quang nan thủ,",桂宮流影光難取，
Yên huân lan phá khinh khinh ngữ.,嫣熏蘭破輕輕語。
"Trực giao Ngân Hán đoạ bôi trung,",直教銀漢墮杯中，
Vị khiển Tinh phi trấn lai khứ.,未遣星妃鎮來去。
Trọc thuỷ thanh ba hà dị nguyên?,濁水清波何異源，
Tế hà thuỷ thanh Hoàng hà hồn.,濟河水清黃河渾。
"An đắc bạc vụ khởi tương quần,",安得薄霧起緗裙，
Thủ tiếp vân bình hô thái quân.,手接雲軿呼太君。
