vi,ch
"Ức niên thập ngũ tâm thượng hài,",憶年十五心尚孩，
Kiện như hoàng độc tẩu phục lai.,健如黃犢走復來。
"Đình tiền bát nguyệt lê tảo thục,",庭前八月梨棗熟，
Nhất nhật thượng thụ năng thiên hồi.,一日上樹能千回。
"Tức kim thúc hốt dĩ ngũ thập,",即今倏忽已五十，
"Toạ ngoạ chỉ đa, thiểu hành lập.",坐臥只多少行立。
"Cưỡng tương tiếu ngữ cung chủ nhân,",強將笑語供主人，
Bi kiến sinh nhai bách ưu tập.,悲見生涯百憂集。
"Nhập môn y cựu tứ bích không,",入門依舊四壁空，
Lão thê đổ ngã nhan sắc đồng.,老妻睹我顏色同。
"Si nhi bất tri phụ tử lễ,",痴兒不知父子禮，
Khiếu nộ sách phạn đề môn đông.,叫怒索飯啼門東。
