vi,ch
"Miên Châu giang thuỷ chi đông tân,",綿州江水之東津，
Phường ngư bát bát sắc thắng ngân.,魴魚鱍鱍色勝銀。
"Ngư nhân dạng chu trầm đại võng,",漁人漾舟沈大網，
Tiệt giang nhất ủng sổ bách lân.,截江一擁數百鱗。
"Chúng ngư thường tài tận khước khí,",眾魚常才盡卻棄，
Xích lý đằng xuất như hữu thần.,赤鯉騰出如有神。
"Tiềm long vô thanh lão giao nộ,",潛龍無聲老蛟怒，
Hồi phong táp táp xuy sa trần.,回風颯颯吹沙塵。
"Ung tử tả hữu huy song đao,",饔子左右揮雙刀，
Khoái phi kim bàn bạch tuyết cao.,膾飛金盤白雪高。
"Từ Châu ngốc vĩ bất túc ức,",徐州禿尾不足憶，
Hán âm tra đầu viễn độn đào.,漢陰槎頭遠遁逃。
"Phường ngư phì mỹ tri đệ nhất,",魴魚肥美知第一，
Ký bão hoan ngu diệc tiêu sắt.,既飽歡娛亦蕭瑟。
"Quân bất kiến triêu lai cát tố kết,",君不見朝來割素髻。
Chỉ xích ba đào vĩnh tương thất.,咫尺波濤永相失。
