vi,ch
"Sơn yên nùng uất,",山煙濃鬱，
Hải ba xung dung.,海波沖瀜。
"Tiên công ấm trạch,",先公蔭澤，
Dữ vi vô cùng.,與為無窮。
"Di ái tư phổ,",遺愛斯普，
Âu đức tụng công.,謳德頌功。
"Lê viên tử đệ,",梨園子弟，
Thẩn tại bình mông.,矧在帡幪。
"Sự biến hà thường,",事變何常，
Bỉnh hiếu tắc đồng.,秉好則同。
"Hiên nga thế từ,",軒峨世祠，
Khai trương cố chỉ.,開張故址。
"Chiếu minh huân hao,",照明焄蒿，
Trắc giáng duy thuỷ.,陟降維始。
"Trở đậu vi báo,",俎豆為報，
Ngô nhân vĩnh thỉ.,吾人永矢。
"Miếu nhạc ung ung,",廟樂雍雍，
Tái ca tái xuý.,載歌載吹。
"Thoả chi hựu chi,",妥之侑之，
Khang thường tích chỉ.,康常錫祉。
