vi,ch
"Thướng sơn thái vi,",上山採薇，
Bạc mộ khổ ky.,薄暮苦饑。
"Khê cốc đa phong,",谿谷多風，
Sương sương triêm y.,霜霜沾衣。
"Dã trĩ quần cẩu,",野雉群雊，
Viên hầu tương truy.,猿猴相追。
"Hoàn vọng cố hương,",還望故鄉，
Uất hà luy luy!,鬱何壘壘！
"Cao sơn hữu nhai,",高山有崖，
Lâm mộc hữu chi.,林木有枝。
"Ưu lai vô phương,",憂來無方，
Nhân mạc chi tri.,人莫之知。
"Nhân sinh như ký,",人生如寄，
Đa ưu hà vi?,多憂何為？
"Kim ngã bất lạc,",今我不樂，
Tuế nguyệt như trì.,歲月如馳。
"Thang thang xuyên lưu,",湯湯川流，
Trung hữu hành chu.,中有行舟。
"Tuỳ ba chuyển bạc,",隨波轉薄，
Hữu tự khách du.,有似客遊。
"Sách ngã lương mã,",策我良馬，
Bị ngã khinh cừu.,被我輕裘。
"Tải trì tải khu,",載馳載驅，
Liêu dĩ vong ưu.,聊以忘憂。
