vi,ch
"Thiên quyến tây cố,",天眷西顧，
Đốc sinh thần võ.,篤生神武。
"Viêm tộ thức vi,",炎祚式微，
Phỉ cung chi cố.,匪躬之故。
"Tú viên nhất tự,",秀園一敘，
Huynh đệ quân thần.,兄弟君臣。
"Tả chu hữu toàn,",左周右旋，
Lịch khảm lý truân.,歷坎履屯。
"Bắc Nguỵ, Đông Ngô,",北魏東吳，
Tam phân đỉnh túc.,三分鼎足。
"Thất mã đơn đao,",匹馬單刀，
Đế Hán ư Thục.,帝漢於蜀。
"Xích tinh nhất tuyến,",赤精一線，
Xung mạc khả hồi.,沖漠可回。
"Cao, Quang cựu vật,",高光舊物，
Thoá thủ trùng khôi.,唾手重恢。
"Phỉ trực dã dũng,",匪直也勇，
Phỉ trực dã trí.,匪直也智。
"Trung nghĩa lưu quang,",忠義流光，
Thiên thu ngưỡng chỉ.,千秋仰止。
"Bí cung hữu tuất,",閟宮有侐，
Di tượng hữu nghiêm.,遺像有嚴。
"Mặc phù ngã việt,",默扶我越，
Hách hách viêm viêm.,赫赫炎炎。
